Age,Male-qx,Female-qx
0,0.0046,0.0036
1,0.0002,0.0002
2,0.0002,0.0002
3,0.0001,0.0001
4,0.0001,0.0001
5,0.0001,0.0001
6,0.0001,0.0001
7,0.0001,0.0001
8,0.0001,0.0001
9,0.0001,0.0001
10,0.0001,0.0001
11,0.0001,0.0001
12,0.0001,0.0001
13,0.0001,0.0001
14,0.0002,0.0002
15,0.0002,0.0002
16,0.0003,0.0003
17,0.0004,0.0003
18,0.0005,0.0003
19,0.0006,0.0003
20,0.0006,0.0004
21,0.0009,0.0004
22,0.0009,0.0004
23,0.0010,0.0004
24,0.0010,0.0004
25,0.0010,0.0005
26,0.0011,0.0005
27,0.0011,0.0005
28,0.0011,0.0006
29,0.0012,0.0006
30,0.0012,0.0006
31,0.0014,0.0006
32,0.0014,0.0006
33,0.0015,0.0007
34,0.0015,0.0007
35,0.0015,0.0007
36,0.0015,0.0008
37,0.0016,0.0008
38,0.0017,0.0008
39,0.0017,0.0009
40,0.0019,0.0010
41,0.0014,0.0008
42,0.0015,0.0009
43,0.0016,0.0010
44,0.0017,0.0010
45,0.0018,0.0011
46,0.0019,0.0012
47,0.0021,0.0013
48,0.0022,0.0014
49,0.0024,0.0016
50,0.0026,0.0017
51,0.0028,0.0018
52,0.0030,0.0020
53,0.0033,0.0021
54,0.0036,0.0023
55,0.0039,0.0025
56,0.0043,0.0027
57,0.0047,0.0030
58,0.0051,0.0033
59,0.0056,0.0036
60,0.0061,0.0039
61,0.0068,0.0044
62,0.0074,0.0048
63,0.0082,0.0053
64,0.0090,0.0058
65,0.0098,0.0064
66,0.0108,0.0071
67,0.0119,0.0078
68,0.0130,0.0086
69,0.0144,0.0095
70,0.0158,0.0105
71,0.0176,0.0118
72,0.0194,0.0131
73,0.0214,0.0145
74,0.0237,0.0162
75,0.0262,0.0180
76,0.0291,0.0201
77,0.0323,0.0224
78,0.0358,0.0251
79,0.0397,0.0280
80,0.0441,0.0314
81,0.0482,0.0344
82,0.0536,0.0386
83,0.0597,0.0433
84,0.0665,0.0487
85,0.0741,0.0548
86,0.0848,0.0619
87,0.0946,0.0698
88,0.1057,0.0788
89,0.1181,0.0890
90,0.1322,0.1007
91,0.1558,0.1186
92,0.1732,0.1334
93,0.1916,0.1493
94,0.2110,0.1663
95,0.2338,0.1866
96,0.2547,0.2060
97,0.2761,0.2265
98,0.2980,0.2479
99,0.3202,0.2700
100,0.3424,0.2926
101,0.3745,0.3266
102,0.3967,0.3504
103,0.4184,0.3740
104,0.4393,0.3972
105,0.4594,0.4197
106,0.4784,0.4415
107,0.4963,0.4623
108,0.5131,0.4819
109,0.5287,0.5004
110,1.0000,1.0000
